process_num, iter_num, probability_1, probability_2, probability_3, probability_4, probability_5, is_correct, time,
00000, 00000, 0.000005, 0.000035, 0.999670, 0.000213, 0.000076, 1, 1575408168.4012713,
00000, 00001, 0.000005, 0.000036, 0.999569, 0.000290, 0.000101, 1, 1575408171.8868887,
00000, 00002, 0.000014, 0.000060, 0.993066, 0.005485, 0.001375, 1, 1575408175.800194,
00000, 00003, 0.000004, 0.000034, 0.999667, 0.000220, 0.000074, 1, 1575408179.232152,
00000, 00004, 0.000005, 0.000035, 0.999740, 0.000162, 0.000058, 1, 1575408186.6506264,
00000, 00005, 0.000005, 0.000036, 0.999450, 0.000381, 0.000128, 1, 1575408190.3487568,
00000, 00006, 0.000005, 0.000036, 0.999470, 0.000365, 0.000123, 1, 1575408193.8858063,
00000, 00007, 0.000004, 0.000035, 0.999796, 0.000121, 0.000043, 1, 1575408200.7963462,
00000, 00008, 0.000005, 0.000058, 0.999870, 0.000050, 0.000017, 1, 1575408207.3869278,
00000, 00009, 0.000005, 0.000036, 0.999484, 0.000355, 0.000119, 1, 1575408211.0452726,
00000, 00010, 0.000002, 0.000039, 0.999906, 0.000039, 0.000013, 1, 1575408217.2626457,
00000, 00011, 0.000006, 0.000037, 0.999419, 0.000399, 0.000138, 1, 1575408221.7682462,
00000, 00012, 0.000004, 0.000037, 0.999805, 0.000114, 0.000040, 1, 1575408226.7552135,
00000, 00013, 0.000004, 0.000035, 0.999799, 0.000120, 0.000043, 1, 1575408233.3575552,
00000, 00014, 0.000005, 0.000037, 0.999416, 0.000406, 0.000136, 1, 1575408237.2139666,
00000, 00015, 0.000004, 0.000036, 0.999797, 0.000124, 0.000040, 1, 1575408243.0873134,
00000, 00016, 0.000005, 0.000035, 0.999569, 0.000292, 0.000099, 1, 1575408246.641181,
00000, 00017, 0.000003, 0.000034, 0.999859, 0.000076, 0.000028, 1, 1575408251.5146677,
00000, 00018, 0.000002, 0.000044, 0.999913, 0.000030, 0.000010, 1, 1575408255.2556353,
00000, 00019, 0.000005, 0.000055, 0.999882, 0.000043, 0.000015, 1, 1575408262.4456499,
00000, 00020, 0.000003, 0.000035, 0.999867, 0.000070, 0.000025, 1, 1575408269.2263572,
